PDB,PMCID
5d1z,PMC5120205
2xtt,PMC3030363
5mak,PMC5701241
5ma5,PMC5701241
5ma3,PMC5701241
5ma4,PMC5701241
2gww,PMC2064523
3fpu,PMC2796168
5gy2,PMC5247705
5j7c,PMC5081044
4qlp,PMC4560639
5odw,PMC5692591
5nvl,PMC5538437
5ma6,PMC5701241
5nvk,PMC5538437
3uir,PMC3545990
6gfi,PMC6158287
5ays,PMC4872100
5abv,PMC4573856
5sv3,PMC5240650
4j2y,PMC3633903
4afz,PMC3499344
5ovw,PMC5662663
5mad,PMC5701241
3wdg,PMC3902945
4xl5,PMC4613692
4zrp,PMC4947154
5ayr,PMC4872100
4ayi,PMC3486911
4afq,PMC3499344
5gpg,PMC4999972
3rdz,PMC3115953
3ula,PMC3281905
4glv,PMC3896448
5jds,PMC5341541
6fp7,PMC6262872
2leh,PMC3462613
4w6w,PMC4263667
4jw2,PMC3754942
6gd5,PMC6235536
5o2s,PMC5519984
2w81,PMC2670278
2w80,PMC2670278
5vko,PMC5599234
4xvp,PMC4613692
5uul,PMC5464773
4w6x,PMC4263667
4ilw,PMC3779175
4ag2,PMC3499344
4uem,PMC4352763
5ufq,PMC5517481
2hsq,PMC2064523
3k2m,PMC2926940
5mtm,PMC5417323
3zyi,PMC3230378
3zyj,PMC3230378
4yiz,PMC4425356
3egg,PMC2924587
5jyl,PMC5206748
2hrk,PMC1557820
4l0p,PMC4439037
5v5g,PMC5451084
5cxb,PMC4678814
5omn,PMC5667739
4yj4,PMC4650712
2m04,PMC3683295
5oen,PMC5789952
4cj2,PMC4019568
5nus,PMC5737387
5lhn,PMC5469797
5dju,PMC5137947
3gni,PMC2686265
2z7f,PMC2394824
4rt6,PMC4873976
6ff3,PMC6155051
2wfx,PMC2709225
5nvm,PMC5538437
5jlv,PMC5033645
5djt,PMC5137947
5uwc,PMC5785977
2wh6,PMC3009601
4ap2,PMC3597819
6fc3,PMC6061780
3zwz,PMC3380929
6i3f,PMC6378967
3aaa,PMC2897767
2wd5,PMC3025461
5mtn,PMC5417323
3wa5,PMC3792639
3t6g,PMC3230775
4lyl,PMC4118823
4gn5,PMC3896448
5m72,PMC5224484
5oc7,PMC5727386
3g3b,PMC2722044
5v69,PMC5451084
5ywr,PMC5941314
5nwm,PMC5714956
5e3e,PMC5435912
3qi2,PMC3285607
4ovn,PMC4223872
4cj1,PMC4019568
4brw,PMC3783180
4pbz,PMC4139204
5nqg,PMC5560645
5ufe,PMC5517481
3t04,PMC3202669
5v6a,PMC5451084
5nvn,PMC5538437
4boh,PMC3741208
3tu3,PMC3498133
2lww,PMC3760798
2wy3,PMC2797645
5twa,PMC5386376
3wo3,PMC4275594
3sku,PMC3182920
5xv8,PMC5727438
2wg3,PMC2709225
2wg4,PMC2709225
2m0g,PMC3553976
4yn0,PMC4403255
5jmc,PMC5033645
5jw9,PMC5290273
4kfz,PMC3887373
3reb,PMC3098852
4cj0,PMC4019568
4wen,PMC4337312
5et1,PMC4758956
5vkl,PMC5599234
5un7,PMC5394233
5inb,PMC5005033
4ui1,PMC4456160
5h7y,PMC5611513
4doq,PMC3795561
5eb1,PMC4887326
5uv8,PMC5785977
2rnr,PMC2275666
2xpx,PMC3009601
4yh7,PMC4423211
5jsb,PMC5127641
5v5h,PMC5451084
3zwl,PMC3300007
6aaf,PMC6279349
3sri,PMC3380929
5o2t,PMC5519984
5nqf,PMC5560645
4mit,PMC4303316
3rea,PMC3098852
4kbb,PMC3752466
2lox,PMC3384317
5j28,PMC5005033
3znz,PMC3690481
4bru,PMC3783180
4pc0,PMC4139204
4pz6,PMC4066402
4gnk,PMC3594540
4nl9,PMC4105859
5cyk,PMC4678814
4gn4,PMC3896448
5szi,PMC5026484
4yyp,PMC4530586
2wel,PMC2910593
4iyp,PMC3644067
2n73,PMC4806292
5mtj,PMC5417323
4v0m,PMC4255524
4v0o,PMC4255524
4v0n,PMC4255524
5wos,PMC5691656
4y61,PMC4437028
2wy8,PMC3025320
4etp,PMC3384419
4zi2,PMC4635315
3g3a,PMC2722044
3tkl,PMC3295573
4ic7,PMC3605678
6atk,PMC5701055
5li1,PMC4998004
4ywc,PMC4567411
3iol,PMC2804221
2kwj,PMC2901902
3au4,PMC3155308
5wy2,PMC5661634
4pbw,PMC4239663
4bfi,PMC3664923
4yoc,PMC4432644
3ona,PMC3145792
6g04,PMC6131548
5ep6,PMC5027247
5wrv,PMC5907831
5ioh,PMC5005033
4cmm,PMC3974974
5jsn,PMC5127641
6h9n,PMC6134095
4ayd,PMC3486911
5ctr,PMC4914101
5tgh,PMC5348129
4zrk,PMC4493278
5mv9,PMC5493754
5n88,PMC5715112
4c5g,PMC3828522
4pqt,PMC4033627
4u0q,PMC4240730
5c4v,PMC5387736
5szk,PMC5026484
5o90,PMC5809688
4cu4,PMC3992131
3d1m,PMC2679680
4y5o,PMC4526114
5mv8,PMC5493754
4jw3,PMC3754942
4xxb,PMC4526736
5chv,PMC5405867
5c3f,PMC5618334
2jki,PMC2556094
5nzz,PMC6141180
4yc7,PMC4432619
2v52,PMC2583105
2mcn,PMC3770644
4cdk,PMC3861454
4h3p,PMC3605046
5l8j,PMC4967828
2wo3,PMC2832735
2kwk,PMC2901902
4b93,PMC3605791
4aqe,PMC3518760
4pbv,PMC4239663
2hd5,PMC7126176
2lqc,PMC3324987
4apx,PMC3518760
4zrj,PMC4493278
4msm,PMC4033627
5mk0,PMC5501724
5oob,PMC5670239
4aye,PMC3486911
5w3x,PMC5546152
6fc2,PMC6061780
4k81,PMC3742580
5oy9,PMC5847621
4gn3,PMC3896448
5szh,PMC5026484
4weu,PMC4337312
2x2d,PMC3867001
4wem,PMC4337312
6cbp,PMC5856820
5oyl,PMC5847621
5yr0,PMC6016778
3o34,PMC3058826
2kgx,PMC2685691
5jw7,PMC5241803
2mur,PMC4267625
2m5b,PMC3683554
6ch3,PMC5932034
4k1r,PMC4033627
3vep,PMC3597663
2wo2,PMC2832735
2xbb,PMC3077247
3eab,PMC2593743
2lz6,PMC3770644
5xqz,PMC5612953
2rf9,PMC3561764
4llo,PMC3910112
4pw9,PMC4760952
2kxh,PMC2964917
5u4k,PMC5435986
6amb,PMC5653649
4v2c,PMC4210639
4d0n,PMC4232260
6e2p,PMC6078494
3sua,PMC3166162
5xiu,PMC5766498
5ee5,PMC4956616
2kt5,PMC3017119
6ch2,PMC5932034
3oxu,PMC3512577
4gla,PMC3896448
4qzv,PMC7104937
3r85,PMC3174058
2kwo,PMC2901902
5fzt,PMC4938799
5tl6,PMC5634334
4nm3,PMC3953950
4nu1,PMC3953950
4lqw,PMC3750474
6ba6,PMC5701058
3kyi,PMC2817712
5szj,PMC5026484
5tl7,PMC5634334

